weather,road_condition,traffic_level,visibility,time_of_day,speed_kmh,road_type,lighting,num_vehicles,risk_score,risk_level
Rainy,Under Construction,Congested,Very Poor (<100m),Morning Rush,89,Residential,Dimly Lit,5,68.0,MEDIUM
Snow,Under Construction,Moderate,Very Poor (<100m),Afternoon,82,Urban Arterial,Well Lit Street,7,66.3,MEDIUM
Foggy,Icy,Congested,Poor (100-500m),Dawn,37,Highway,Well Lit Street,8,97,HIGH
Clear,Wet,Moderate,Moderate (500m-1km),Afternoon,38,Urban Arterial,Dark / No Lights,13,55.9,MEDIUM
Overcast,Dry,Moderate,Moderate (500m-1km),Morning Rush,98,Urban Arterial,Daylight,33,34.9,LOW
Rainy,Wet,Moderate,Poor (100-500m),Evening Rush,94,Residential,Dark / No Lights,15,97,HIGH
Foggy,Dry,Moderate,Moderate (500m-1km),Afternoon,83,Residential,Daylight,29,42.7,MEDIUM
Rainy,Under Construction,Congested,Poor (100-500m),Evening Rush,110,Residential,Dark / No Lights,22,97,HIGH
Snow,Dry,Moderate,Good (>1km),Evening Rush,51,Highway,Well Lit Street,25,42.7,MEDIUM
Rainy,Wet,Moderate,Poor (100-500m),Evening Rush,84,Rural Single Lane,Daylight,31,70.2,HIGH
Rainy,Under Construction,Congested,Good (>1km),Dawn,44,Highway,Dimly Lit,19,46.1,MEDIUM
Clear,Under Construction,Congested,Very Poor (<100m),Afternoon,89,Highway,Daylight,29,56.3,MEDIUM
Clear,Dry,Moderate,Good (>1km),Late Night,114,Rural Single Lane,Daylight,12,47.7,MEDIUM
Foggy,Under Construction,Congested,Moderate (500m-1km),Morning Rush,77,Highway,Dimly Lit,7,57.8,MEDIUM
Overcast,Wet,Low,Good (>1km),Morning Rush,36,Ghat / Mountain,Dimly Lit,29,53.3,MEDIUM
Foggy,Wet,Moderate,Very Poor (<100m),Afternoon,66,Residential,Well Lit Street,21,82.9,HIGH
Foggy,Wet,Low,Poor (100-500m),Evening Rush,113,Residential,Dark / No Lights,34,97,HIGH
Foggy,Dry,Moderate,Poor (100-500m),Late Night,101,Highway,Well Lit Street,17,97,HIGH
Clear,Icy,Low,Poor (100-500m),Afternoon,111,Rural Single Lane,Dimly Lit,16,89.8,HIGH
Rainy,Wet,Low,Poor (100-500m),Evening Rush,25,Residential,Dimly Lit,35,74.9,HIGH
Overcast,Potholes / Damaged,Heavy,Poor (100-500m),Evening Rush,31,Rural Single Lane,Daylight,27,66.9,MEDIUM
Rainy,Potholes / Damaged,Congested,Poor (100-500m),Afternoon,80,Ghat / Mountain,Dark / No Lights,10,97,HIGH
Overcast,Dry,Moderate,Moderate (500m-1km),Late Night,119,Residential,Dark / No Lights,25,72.3,HIGH
Foggy,Dry,Moderate,Very Poor (<100m),Dawn,28,Highway,Well Lit Street,29,62.0,MEDIUM
Foggy,Wet,Moderate,Moderate (500m-1km),Late Night,36,Ghat / Mountain,Dark / No Lights,14,97,HIGH
Snow,Dry,Heavy,Good (>1km),Afternoon,30,Rural Single Lane,Dimly Lit,2,57.4,MEDIUM
Overcast,Icy,Low,Poor (100-500m),Morning Rush,81,Ghat / Mountain,Well Lit Street,33,89.9,HIGH
Snow,Potholes / Damaged,Heavy,Good (>1km),Evening Rush,53,Highway,Dark / No Lights,34,93.4,HIGH
Foggy,Potholes / Damaged,Heavy,Poor (100-500m),Afternoon,63,Urban Arterial,Well Lit Street,32,95.4,HIGH
Overcast,Under Construction,Low,Very Poor (<100m),Late Night,97,Residential,Dimly Lit,3,75.3,HIGH
Rainy,Under Construction,Moderate,Good (>1km),Dawn,111,Ghat / Mountain,Well Lit Street,24,71.9,HIGH
Overcast,Potholes / Damaged,Moderate,Very Poor (<100m),Afternoon,76,Residential,Dimly Lit,17,49.5,MEDIUM
Rainy,Wet,Heavy,Very Poor (<100m),Evening Rush,82,Urban Arterial,Dark / No Lights,25,97,HIGH
Foggy,Potholes / Damaged,Heavy,Good (>1km),Afternoon,70,Rural Single Lane,Dimly Lit,28,69.1,MEDIUM
Rainy,Under Construction,Heavy,Moderate (500m-1km),Dawn,108,Rural Single Lane,Dark / No Lights,35,89.3,HIGH
Foggy,Under Construction,Congested,Moderate (500m-1km),Evening Rush,47,Rural Single Lane,Daylight,34,53.4,MEDIUM
Foggy,Icy,Heavy,Poor (100-500m),Morning Rush,60,Urban Arterial,Dimly Lit,33,97,HIGH
Foggy,Dry,Heavy,Poor (100-500m),Late Night,100,Urban Arterial,Dark / No Lights,21,97,HIGH
Overcast,Potholes / Damaged,Congested,Poor (100-500m),Evening Rush,112,Highway,Dark / No Lights,19,97,HIGH
Overcast,Wet,Low,Moderate (500m-1km),Evening Rush,65,Residential,Dimly Lit,9,31.0,LOW
Rainy,Wet,Congested,Moderate (500m-1km),Evening Rush,67,Rural Single Lane,Daylight,25,65.3,MEDIUM
Foggy,Under Construction,Moderate,Very Poor (<100m),Morning Rush,82,Ghat / Mountain,Dark / No Lights,2,97,HIGH
Snow,Potholes / Damaged,Moderate,Poor (100-500m),Morning Rush,27,Highway,Dark / No Lights,31,94.8,HIGH
Overcast,Dry,Low,Very Poor (<100m),Dawn,87,Residential,Daylight,32,38.7,LOW
Foggy,Wet,Low,Moderate (500m-1km),Morning Rush,80,Urban Arterial,Daylight,13,55.6,MEDIUM
Clear,Potholes / Damaged,Moderate,Very Poor (<100m),Morning Rush,39,Rural Single Lane,Well Lit Street,24,52.7,MEDIUM
Snow,Wet,Low,Poor (100-500m),Late Night,36,Urban Arterial,Dimly Lit,31,96.9,HIGH
Clear,Under Construction,Heavy,Good (>1km),Dawn,49,Ghat / Mountain,Well Lit Street,29,52.3,MEDIUM
Snow,Potholes / Damaged,Moderate,Poor (100-500m),Late Night,110,Residential,Dark / No Lights,19,97,HIGH
